document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
13314,10/99,first follow-up to medical action ma 10/99 on yugoslavia,disappearance|health professionals|women|yugoslavia|medical action ma 10/99,yugoslavia,,,,unknown,
13315,,,,,,,1999-04-28,,1999-10-13|1999-04-28|1999-04-20|1999-04-22|1999-05-17|1999-07-10
13316,273/99,ua 273/99 on indonesia,disappearance|indonesia|ua 273/99,indonesia,,,,initial,1999-10-12|1999-09-29|1999-08-17|1999-07-30|
13317,2/98,stop action to nsa 2/98 on usa,ns 2/98 on usa|refugee issues|women,usa,,,,unknown,
13318,6/99,second follow-up to nsa 6/99 on usa,refugee issues|women|ns 6/99,usa,,,,unknown,
13319,230/99,first follow-up to ua 230/99 on usa,death penalty|ua 230/99|usa,usa,,,1999-09-03,first follow-up,1999-10-12|1999-09-03|1999-10-11|1989-05-24|1997-10-25|1999-11-15
13320,266/99,stop action to ua 266/99 on cambodia,cambodia|fear for safety|ua 266/99,cambodia,,,1999-10-06,stop action,1999-10-11|1999-10-06|1999-10-09
13321,139/98,fourth follow-up to ua 139/98 on guatemala,guatemala|religious leaders|ua 139/98,guatemala,,,1998-05-01,fourth follow-up,|1999-10-11|1998-05-01|1998-12-01|1999-01-07|1999-10-07
13322,143/99,ex 143/99 on egypt,death penalty|egypt|women|ex 143/99,egypt,,,,unknown,1999-10-11|1999-10-07
13323,271/99,ua 271/99 on egypt,death penalty|egypt|women|ua 271/99,egypt,,,,initial,1999-10-11|1999-10-07|1999-09-09
13324,142/99,ex 142/99 on israel,children|israel|legal concern|torture|women|ex 142/99,israel,,,,unknown,1999-10-11|1999-10-07
13325,272/99,ua 272/99 on saudi arabia,death penalty|saudi arabia|ua 272/99,saudi arabia,,,,initial,1999-10-05|1999-09-27
13326,270/99,ua 270/99 on mexico,fear for safety|mexico|ua 270/99,mexico,,,,initial,1999-10-08|1999-09-28|1999-09-28
13327,141/99,ex 141/99 on usa/florida,death penalty|usa|ex 141/99,usa,,,,unknown,1999-10-08|1999-10-27|1979-07-24|1977-12-27|1986-05-16|1999-09-24|1999-09-27
13328,269/99,ua 269/99 on yugoslavia,artists|health concern|journalists and writers|prisoners of conscience|yugoslavia|ua 269/99,yugoslavia,,,,initial,1999-10-07|1999-11-04
13329,267/99,ua 267/99 on venezuela,death threats|fear for safety|venezuela|women|ua 267/99,venezuela,,,,initial,1999-10-07
13330,140/99,ex 140/99 on usa,fear for safety|refugee issues|usa|ex 140/99,usa,,,,unknown,1999-10-04
13331,268/99,ua 268/99 on colombia,colombia|fear for safety|ua 268/99,colombia,,,,initial,
13332,252/99,first follow-up to ua 252/99 on chile,chile|death threats|fear for safety|ua 252/99|women,chile,,,1999-09-27,first follow-up,1999-10-07|1999-09-27|1999-10-05|1999-10-06
13333,265/99,ua 265/99 on argentina,argentina|death threats|fear for safety|women|ua 265/99,argentina,,,,initial,1999-10-06|1999-09-17||1999-09-01|1999-09-09
13334,127/99,third follow-up to ex 127/99 on east timor,east timor|ex 127/99|fear for safety|indonesia|refugee issues,east timor,,,1999-09-09,unknown,1999-10-06|1999-09-09|1999-09-14|1999-09-23
13335,264/99,ua 264/99 on peru,death threats|fear for safety|journalists and writers|peru|ua 264/99,peru,,,,initial,1999-09-28
13336,261/99,ua 261/99 on dr congo,artists|democratic republic of congo|incommunicado detention|torture|ua 261/99,dr congo,,,,initial,1999-09-27|1999-09-22
13337,139/99,ex 139/99 on usa/tennessee,death penalty|usa|ex 139/99,usa,,,,unknown,1999-10-06|1999-10-19|1999-10-04
13338,266/99,ua 266/99 on cambodia,cambodia|fear for safety|ua 266/99,cambodia,,,,initial,1999-10-06
13339,263/99,ua 263/99 on burundi,burundi|disappearance|ua 263/99,burundi,,,,initial,1999-10-05
13340,35/99,stop action to ua 35/99 on lebanon,health concern|lebanon|legal concern|torture|ua 35/99,lebanon,,,1999-02-26,stop action,1999-10-05|1999-02-26|1999-08-10
13341,250/99,stop action to ua 250/99 on palestinian authority,journalists and writers|palestinian authority|prisoners of conscience|torture|ua 250/99,palestinian authority,,,1999-09-24,stop action,1999-10-05|1999-09-24|1999-10-04
13342,255/99,second follow-up to ua 255/99 on burundi,burundi|fear for safety|torture|ua 255/99,burundi,,,1999-09-28,second follow-up,1999-10-05|1999-09-28|1999-10-05|1999-10-02
13343,260/99,ua 260/99 on colombia,colombia|fear for safety|ua 260/99,colombia,,,1999-01-08,initial,1999-10-05|1999-10-06|1999-01-08
13344,138/99,ex 138/99 on dr congo,democratic republic of congo|torture|ex 138/99,dr congo,,,,unknown,1999-10-05|1999-09-26
13345,262/99,ua 262/99 on nepal,disappearance|nepal|torture|women|ua 262/99,nepal,,,,initial,1999-10-05|1999-03-14|1999-09-24
13346,258/99,ua 258/99 on bolivia,human rights defenders|legal professionals|bolivia|ua 258/99,bolivia,,,1997-01-28,initial,1999-10-04|1999-09-24|1997-01-25|1997-01-28|1997-02-21|1997-03-19|1997-04-14|1997-09-12
13347,259/99,ua 259/99 on saudi arabia,death penalty|saudi arabia|ua 259/99,saudi arabia,,,,initial,
13348,248/99,stop action for ua 248/99 on cuba,cuba|health concern|prisoners of conscience|ua 248/99,cuba,,,1999-09-23,stop action for,1999-10-01|1999-09-23|1999-09-29
13349,137/99,stop action to ua 137/99 on venezuela,children|fear for safety|ua 137/99|venezuela,venezuela,,,1999-06-11,stop action,1999-10-01|1999-06-11
13350,127/99,stop action to ua 127/99 on venezuela,fear for safety|ua 127/99|venezuela,venezuela,,,1999-06-02,stop action,1999-10-01|1999-06-02
13351,137/99,ex 137/99 on morocco,fear for safety|students|morocco|ex 137/99,morocco,,,,unknown,1999-10-01|1999-09-22|1999-09-27
13352,257/99,ua 257/99 on mexico,children|fear for safety|mexico|ua 257/99,mexico,,,,initial,1999-09-25|1999-01-27
13353,255/99,first follow-up to ua 255/99 on burundi,burundi|torture|ua 255/99|women,burundi,,,1999-09-28,first follow-up,1999-09-30|1999-09-28
13354,199/99,stop action for ua 199/99 on the philippines,death penalty|philippines|ua 199/99,the philippines,,,1999-08-05,stop action for,1999-09-30|1999-08-05|1999-09-29|1999-10-23
13355,21/98,second follow-up to medical action ma 21/98 on peru,health concern|medical action ma 21/98|peru,peru,,,,unknown,
13356,,,,,,,,,1999-09-30|1999-03-22
13357,256/99,ua 256/99 on yugoslavia,prisoners of conscience|teachers and educators|yugoslavia|ua 256/99,yugoslavia,,,,initial,1999-09-30|1999-09-29|1999-09-29
13358,161/99,first follow-up to ua 161/99 on uzbekistan,fear for safety|health concern|human rights defenders|prisoners of conscience|ua 161/99|uzbekistan,uzbekistan,,,1999-07-12,first follow-up,1999-09-30|1999-07-12|1999-09-29|1999-03-08|1999-06-28|1999-09-29
13359,136/99,ex 136/99 on china,china|death penalty|ex 136/99,china,,,,unknown,1999-09-29
13360,2/98,second follow-up to ua 2/98 on guatemala,fear for safety|guatemala|ua 2/98,guatemala,,,1998-01-06,second follow-up,1999-09-29|1998-01-06|1999-09-23
13361,246/99,second follow-up to ua 246/99 on malaysia,malaysia|prisoners of conscience|ua 246/99,malaysia,,,1999-09-20,second follow-up,1999-09-29|1999-09-20|1999-09-19|1999-09-19
13362,199/99,second follow-up to ua 199/99 on the philippines,death penalty|philippines|ua 199/99,the philippines,,,1999-08-05,second follow-up,1999-09-29|1999-08-05|1998-04-03
13363,135/99,first follow-up to ex 135/99 on turkey,ex 135/99|fear for safety|human rights defenders|turkey,turkey,,,1999-09-28,unknown,1999-09-29|1999-09-28|1999-09-28|1999-09-29
13364,199/99,second follow-up to ua 199/99 on the philippines,death penalty|philippines|ua 199/99,the philippines,,,1999-08-05,second follow-up,1999-09-29|1999-08-05|1998-04-03
13365,206/99,stop action for ua 206/99 on usa,children|death penalty|usa|ua 206/99,usa,,,1999-08-12,stop action for,1999-09-28|1999-08-12|1999-09-17|1998-06-06
13366,135/99,ex 135/99 on turkey,fear for safety|human rights defenders|turkey|ex 135/99,turkey,,,,unknown,1999-09-28|1999-09-28|1999-09-26|1999-09-28
13367,52/99,stop action for ua 52/99 on rwanda,death penalty|fear for safety|rwanda|ua 52/99,rwanda,,,1999-03-22,stop action for,1999-09-28|1999-03-22|1999-04-08|1999-04-12|1999-08-18|1999-08-31|1999-09-24
13368,178/99,fourth follow-up to ua 178/99 on the philippines,death penalty|philippines|ua 178/99|women,the philippines,,,1999-07-23,fourth follow-up,1999-09-28|1999-07-23|1999-08-13|1999-09-20|1998-04-03
13369,18/99,medical action ma 18/99 on ethiopia,disappearance|ethiopia|health concern|health professionals|torture|medical action ma 18/99,ethiopia,,,,unknown,
13370,,,,,,,,,1999-09-27|1999-08-15
13371,253/99,ua 253/99 on usa,death penalty|usa|women|ua 253/99,usa,,,,initial,1999-09-28|1998-10-17|1999-12-01
13372,254/99,ua 254/99 on djibouti,djibouti|journalists and writers|prisoners of conscience|ua 254/99,djibouti,,,,initial,1999-09-23|
13373,255/99,ua 255/99 on burundi,burundi|torture|women|ua 255/99,burundi,,,,initial,1999-09-28|1999-08-30|1999-09-22
13374,252/99,ua 252/99 on chile,chile|death threats|ua 252/99,chile,,,,initial,1999-09-27|1999-09-23|
13375,251/99,ua 251/99 on saudi arabia,death penalty|saudi arabia|ua 251/99,saudi arabia,,,,initial,1999-09-27
13376,118/99,first follow-up to ex 118/99 on united states,death penalty|ex 118/99|usa,united states,,,,unknown,1999-07-08|1999-06-08
13377,128/97,stop action for ex 128/97 on tunisia,health concern|human rights defenders|legal concern|prisoners of conscience|tunisia|ex 128/97,tunisia,,,2097-09-30,unknown,1999-09-24|1997-12-15|1998-01-21|1998-02-12|1998-06-26|1998-07-01|1999-09-22
13378,220/99,stop action to ua 220/99 on usa,death penalty|ua 120/99|usa,usa,,,1999-08-26,stop action,1999-09-24|1999-08-26
13379,120/99,stop action for ex 120/99 on usa,death penalty|ex 120/99|usa,usa,,,1999-09-01,unknown,1999-09-24|1999-09-01
13380,174/99,stop action for ua 174/99 on united states,death penalty|ua 174/99|usa,united states,,,1999-07-23,stop action for,1999-09-24|1999-07-23|1999-09-17
13381,249/99,ua 249/99 on colombia,colombia|fear for safety|ua 249/99,colombia,,,,initial,1999-09-14|1999-09-07
13382,250/99,ua 250/99 on palestinian authority,journalists and writers|palestinian authority|prisoners of conscience|torture|ua 250/99,palestinian authority,,,,initial,1999-09-24|1999-09-15
13383,134/99,ex 134/99 on indonesia,fear for safety|indonesia|ex 134/99,indonesia,,,,unknown,1999-09-23|1999-09-11|1999-09-22
13384,76/99,stop action to ua 76/99 on peru,fear for safety|human rights defenders|peru|ua 76/99|women,peru,,,,stop action,1999-09-23
13385,122/99,stop action for ex 122/99 on usa/texas,death penalty|ex 122/99|usa,usa,,,1999-09-02,unknown,1999-09-23|1999-09-02|1999-09-14
13386,248/99,ua 248/99 on cuba,cuba|health concern|prisoners of conscience|ua 248/99,cuba,,,,initial,1999-09-23|1999-09-14
13387,127/99,second follow-up to ex 127/99 on east timor,east timor|ex 127/99|fear for safety|indonesia,east timor,,,1999-09-09,unknown,1999-09-23|1999-09-09|1999-09-14|1999-09-22
13388,246/99,first follow-up to ua 246/99 on malaysia,artists|malaysia|prisoners of conscience|ua 246/99,malaysia,,,1999-09-20,first follow-up,1999-09-22|1999-09-20|1999-09-22|1999-09-19
13389,70/99,fourth follow-up to ex 70/99 on philippines,death penalty|ex 70/99|philippines,philippines,,,,unknown,1999-09-22|1999-08-06|1999-08-13|1998-04-03
13390,239/99,stop action to ua 239/99 on turkey,disappearance|torture|turkey|ua 239/99,turkey,,,1999-09-14,stop action,1999-09-21|1999-09-14|1999-09-05|1999-09-15|1999-09-15
13391,237/99,stop action to ua 237/99 on turkey,disappearance|torture|turkey|ua 237/99,turkey,,,1999-09-13,stop action,1999-09-21|1999-09-13|1999-09-15
13392,247/99,ua 247/99 on israel/south lebanon,israel/south lebanon|teachers and educators|women|ua 247/99,israel,,,,initial,1999-09-21|1999-09-20
13393,178/99,third follow-up to ua 178/99 on philippines,death penalty|philippines|ua 178/99|women,philippines,,,1999-07-23,third follow-up,1999-09-20|1999-07-23|1999-08-13|1998-04-03
13394,246/99,ua 246/99 on malaysia,artists|human rights defenders|legal professionals|malaysia|ua 246/99,malaysia,,,,initial,1999-09-20|1999-09-19
13395,244/99,ua 244/99 on tanzania,death penalty|prisoners of conscience|tanzania|ua 244/99,tanzania,,,1999-09-16,initial,1999-09-17|1999-09-16||1999-09-16
13396,133/99,ex 133/99 on guyana,death penalty|guyana|ex 133/99,guyana,,,,unknown,1999-09-17|1999-09-13
13397,245/99,ua 245/99 on belarus,belarus|disappearance|ua 245/99,belarus,,,,initial,1999-06-09
13398,213/99,first follow-up to ua 213/99 on brazil,brazil|fear for safety|legal professionals|ua 213/99|women,brazil,,,,first follow-up,1999-09-15
13399,243/99,ua 243/99 on colombia,colombia|fear for safety|ua 243/99,colombia,,,,initial,1999-08-21|1999-08-21
13400,236/99,first follow-up to ua 236/99 on saudi arabia,death penalty|saudi arabia|ua 236/99,saudi arabia,,,1999-09-13,first follow-up,1999-09-16|1999-09-13
13401,132/99,ex 132/99 on east timor,east timor|fear for safety|indonesia|religious leaders|teachers and educators|ex 132/99,east timor,,,,unknown,1999-09-16
13402,131/99,ex 131/99 on yemen,torture|yemen|ex 131/99,yemen,,,,unknown,1999-09-15|1999-08-27|1999-08-27
13403,24/99,first follow-up to ex 24/99 on turkey,children|disappearance|ex 24/99|legal professionals|torture|turkey,turkey,,,1999-02-19,unknown,1999-09-15|1999-02-19
13404,241/99,ua 241/99 on ethiopia,ethiopia|health concern|health professionals|torture|ua 241/99,ethiopia,,,,initial,1999-08-15
13405,103/99,first follow-up to ua 103/99 on colombia,colombia|disappearance|fear for safety|teachers and educators|ua 103/99,colombia,,,1999-05-11,first follow-up,1999-09-15|1999-05-11|1999-09-02|
13406,207/99,first follow-up to ua 207/99 on burundi,burundi|ua 207/99,burundi,,,,first follow-up,1999-08-13|1999-09-23
13407,165/99,first follow-up to ua 165/99 on india,fear for safety|human rights defenders|india|ua 165/99,india,,,1999-07-14,first follow-up,1999-09-15|1999-07-14|1999-09-08
13408,127/99,first follow-up to ex 127/99 on east timor,east timor|ex 127/99|fear for safety|indonesia,east timor,,,1999-09-09,unknown,1999-09-14|1999-09-09
13409,238/99,ua 238/99 on turkmenistan,fear for safety|health concern|turkmenistan|ua 238/99,turkmenistan,,,,initial,1999-09-14
13410,240/99,ua 240/99 on syria,health concern|legal concern|syria|torture|ua 240/99,syria,,,,initial,1999-09-14
13411,239/99,ua 239/99 on turkey,disappearance|torture|turkey|ua 239/99,turkey,,,,initial,1999-09-05
13412,242/99,ua 242/99 on turkey,children|health concern|turkey|ua 242/99,turkey,,,,initial,1999-09-14|1999-09-13
13413,237/99,ua 237/99 on turkey,disappearance|torture|turkey|ua 237/99,turkey,,,,initial,1999-09-13|1999-09-07
13414,130/99,ex 130/99 on israel/south lebanon,israel/south lebanon|torture|ex 130/99,israel,,,,unknown,1999-09-13|1999-09-10
13415,236/99,ua 236/99 on saudi arabia,death penalty|saudi arabia|ua 236/99,saudi arabia,,,,initial,1999-09-10|1999-04-20
13416,160/99,second follow-up to ua 160/99 on iran,death penalty|iran|students|ua 160/99,iran,,,1999-07-09,second follow-up,1999-09-13|1999-07-09|1999-09-12|1999-07-08
13417,29/98,first follow-up to medical action ma 29/98 on syria,health concern|medical action ma 29/98|syria,syria,,,,unknown,
13418,,,,,,,1998-10-20,,1999-09-10|1998-10-20
13419,129/99,ex 129/99 on sri lanka,health concern|sri lanka|torture|ex 129/99,sri lanka,,,,unknown,1999-09-10
13420,235/99,ua 235/99 on belarus,belarus|death penalty|ua 235/99,belarus,,,,initial,1999-03-12|1998-08-11
13421,233/99,first follow-up to ua 233/99 on mexico,death threats|fear for safety|legal professionals|ua 233/99,mexico,,,1999-09-06,first follow-up,1999-09-09|1999-09-06|1999-09-08|1999-08-09|1999-09-08|1998-12-09
13422,128/99,ex 128/99 on israel/ south lebanon,israel/south lebanon|journalists and writers|legal concern|torture|women|ex 128/99,israel,,,,unknown,1999-09-07
13423,119/99,third follow-up to ex 119/99 on dr congo,democratic republic of congo|ex 119/99|fear for safety|journalists and writers,dr congo,,,1999-08-27,unknown,1999-09-09|1999-08-27|1999-08-25
13424,127/99,ex 127/99 on east timor,east timor|indonesia|ex 127/99,east timor,,,,unknown,1999-09-09|1999-05-05|1999-08-30
13425,126/99,first follow-up to ex 126/99 on east timor,disappearance|east timor|ex 126/99|indonesia|torture,east timor,,,1999-09-08,unknown,1999-09-09|1999-09-08
13426,126/99,ex 126/99 on east timor,disappearance|east timor|indonesia|torture|ex 126/99,east timor,,,,unknown,1999-09-08
13427,194/99,first follow-up to ua 194/99 on tunisia,children|fear for safety|legal professionals|torture|tunisia|ua 194/99,tunisia,,,1999-08-03,first follow-up,1999-09-08|1999-08-03|1999-09-07
13428,228/99,stop action for ua 228/99 on iraq,iraq|torture|ua 228/99|women,iraq,,,1999-09-01,stop action for,1999-09-08|1999-09-01|1999-09-07
13429,124/99,ex 124/99 on indonesia,fear for safety|incommunicado detention|indonesia|torture|ex 124/99,indonesia,,,,unknown,1999-09-08|1999-09-06|1999-07-30|
13430,125/99,ex 125/99 on nepal,disappearance|nepal|teachers and educators|torture|ex 125/99,nepal,,,,unknown,1999-09-02||1999-09-02
13431,199/99,stop action to ua 199/99 on rwanda,journalists and writers|rwanda|ua 199/96,rwanda,,,1996-08-08,stop action,1999-09-07|1996-08-08|1996-09-13|1997-04-30|1997-05-16|1997-06-30|1999-08-18|1997-05-13|1997-04-27|1999-02-26
13432,63/99,first follow-up to ua 63/99 on congo,congo|health concern|legal professionals|ua 63/99,congo,,,1999-04-01,first follow-up,1999-09-07|1999-04-01|1999-06-12
13433,234/99,ua 234/99 on venezuela,venezuela|ua 234/99,venezuela,,,,initial,1999-08-27
13434,233/99,ua233/99 on mexico,death threats|fear for safety|human rights defenders|mexico|women|ua 233/99,mexico,,,,initial,1999-09-06|1999-09-03|1999-08-09|1999-09-03|1998-12-09
13435,231/99,ua 231/99 on usa,death penalty|legal concern|usa|ua 231/99,usa,,,,initial,1999-09-03|1999-10-25|1997-11-16|1999-06-29
13436,02/98,follow-up ua02/98 on guatemala,fear for safety|guatemala|ua 2/98,guatemala,,,1998-01-06,follow-up,1999-09-03|1998-01-06|1999-09-08|1999-11-09
13437,232/99,ua232/99 on e. timor,east timor|fear for safety|ua 232/99,e. timor,,,,initial,1999-09-03|1999-08-30
13438,126/99,follow-up ua 126/99 on dr congo,congo|legal concern|torture|ua 126/99,dr congo,,,1999-06-02,follow-up,1999-09-03|1999-06-02|1999-05-29|1999-08-24
13439,123/99,ex123/99 on dr congo,arbitrary arrest|congo|fear for safety|ex 123/99,dr congo,,,,unknown,1999-08-27|1998-08-06
13440,230/99,ua 230/99 on usa,death penalty|usa|ua 230/99,usa,,,,initial,1999-09-03|1999-10-18|1997-10-25|1999-06-29
13441,232/99,ua 232/99 on east timor,east timor|fear for safety|ua 232/99,east timor,,,,initial,1999-09-03|1999-08-30
13442,123/99,exa 123/99 on congo,arbitrary arrest|congo|ex 123/99,congo,,,,unknown,1999-08-27|1998-08-06
13443,231/99,ua 231/99 on usa,death penalty|usa|ua 231/99,usa,,,,initial,1999-09-03|1999-10-25|1997-11-16|1999-06-29
13444,230/99,ua 230/99 on usa,death penalty|usa|ua 230/99,usa,,,,initial,1999-09-03|1999-10-18|1997-10-25|1999-06-29
13445,126/99,first follow-up to ua 126/99 on dr congo,democratic republic of congo|torture|ua 126/99,dr congo,,,1999-06-02,first follow-up,1999-09-03|1999-06-02|1999-05-29|1999-08-24
13446,116/99,stop action to ex 116/99 on east timor,disappearance|east timor|ex 116/99,east timor,,,1999-08-20,unknown,1999-09-02|1999-08-20|1999-08-11
13447,17/99,medical action ma 17/99 on myanmar,health professionals|myanmar|prisoners of conscience|medical action ma 17/99,myanmar,,,,unknown,
13448,,,,,,,,,1999-09-02|1999-07-19|1999-07-19|1999-07-29|1999-07-19|1999-07-23|1999-10-31
13449,77/98,fifth follow-up to ex 77/98 on china,china|death penalty|ex 77/99|health concern,china,,,1998-10-15,unknown,1999-09-02|1998-10-15|1999-06-09|1999-08-03|1999-08-12
13450,101/99,first follow-up to ua 101/99 on belarus,belarus|death penalty|disappearance|ua 101/99,belarus,,,1999-05-10,first follow-up,1999-09-02|1999-05-10
13451,174/99,first follow-up to ua 174/99 on usa,children|death penalty|ua 174/99|usa,usa,,,1999-07-23,first follow-up,1999-09-02|1999-07-23|1999-09-01|1998-04-09
13452,122/99,ex 122/99 on usa/texas,death penalty|usa|ex 122/99,usa,,,,unknown,1999-09-02|1999-09-14|1999-09-01|1999-08-05|1997-05-06|1999-06-17
13453,205/99,stop action to ua 205/99 on east timor,disappearance|east timor|indonesia|ua 205/99,east timor,,,1999-08-11,stop action,1999-09-02|1999-08-11|1999-08-31
13454,203/99,stop action to ua 203/99 on usa,children|death penalty|ua 203/99|usa,usa,,,1999-08-10,stop action,1999-09-02|1999-08-10|1999-08-31
13455,121/99,ex 121/99 on east timor,disappearance|east timor|torture|ex 121/99,east timor,,,,unknown,1999-09-01|1999-08-27
13456,106/99,first follow-up to ex 106/99 on usa,death penalty|ex 106/99|usa,usa,,,1999-08-10,unknown,1999-09-01|1999-08-10|1999-08-31|1998-05-19
13457,120/99,ex 120/99 on usa,death penalty|usa|ex 120/99,usa,,,,unknown,1999-09-01|||
13458,228/88,ua 228/88 on iraq,iraq|torture|women|ua 228/99,iraq,,,,initial,1999-09-01|1999-07-28
13459,229/99,ua 229/99 on colombia,colombia|unionists|ua 229/99,colombia,,,1998-10-21,initial,1999-09-01|1999-08-31|1999-08-01|1998-10-21|1999-05-13
13460,205/99,second follow-up to ua 205/99 on east timor,disappearance|east timor|students|ua 205/99,east timor,,,1999-08-11,second follow-up,1999-08-31|1999-08-11|1999-08-13|1999-08-12
13461,99/99,stop action to ex 99/99 on chad,chad|disappearance|ex 99/99,chad,,,1999-08-02,unknown,1999-08-31|1999-08-02
13462,119/99,first follow-up to ex 119/99 on dr congo,democratic republic of congo|ex 119/99|human rights defenders|journalists and writers,dr congo,,,1999-08-27,unknown,1999-08-31|1999-08-27|1999-08-27|1999-08-25|1999-08-27|1999-08-25
13463,52/99,fifth follow-up to ua 52/99 on rwanda,death penalty|rwanda|ua 52/99,rwanda,,,1999-03-22,fifth follow-up,1999-08-31|1999-03-22|1999-04-08|1999-04-12|1999-08-18
13464,86/99,second follow-up to ex 86/99 on jordan/iraq,children|ex 86/99|iraq|jordan|refugee issues|women,jordan,,,1999-07-15,unknown,1999-08-31|1999-07-15|1999-08-28
13465,227/99,ua 227/99 on colombia,colombia|human rights defenders|unionists|ua 227/99,colombia,,,1999-01-29,initial,1999-08-31|1999-08-29|1999-01-28|1999-01-29|
13466,225/99,ua 225/99 on east timor,east timor|indonesia|religious leaders|ua 225/99,east timor,,,,initial,1999-08-31|1999-08-30|1999-08-27|1999-10-12
13467,226/99,ua 226/99 on east timor,children|east timor|indonesia|ua 226/99,east timor,,,,initial,1999-08-27|1999-08-31
13468,118/99,ex 118/99 on usa,death penalty|usa|ex 118/99,usa,,,,unknown,1999-07-07
13469,100/99,stop action to ex 100/99 on indonesia,ex 100/99|indonesia,indonesia,,,1999-08-03,unknown,1999-08-26|1999-08-03
13470,119/99,ex 119/99 on dr congo,arbitrary arrest|democratic republic of congo|journalists and writers|ex 119/99,dr congo,,,,unknown,1999-08-27|1999-08-25|1998-08-06|1999-08-25
13471,224/99,ua 224/99 on china,china|health concern|torture|unionists|ua 224/99,china,,,,initial,1999-08-27
13472,14/99,first follow-up to medical action ma 14/99 on usa,death penalty|usa|medical action ma 14/99,usa,,,,unknown,
13473,,,,,,,,,1999-08-27|1999-09-08
13474,117/99,ex 117/99 on palestinian authority,death penalty|palestinian authority|ex 117/99,palestinian authority,,,,unknown,1999-08-27|1999-08-26
13475,212/99,stop action to ua 212/99 on peru,artists|peru|prisoners of conscience|ua 212/99,peru,,,1999-08-18,stop action,1999-08-27|1999-08-18|1999-08-25
13476,223/99,ua 223/99 on east timor,disappearance|east timor|indonesia|ua 223/99,east timor,,,,initial,1999-08-26|1999-08-18|1999-08-30|1999-08-18
13477,222/99,ua 222/99 on east timor,disappearance|east timor|indonesia|ua 222/99,east timor,,,,initial,1999-08-26|1999-08-30
13478,81/99,stop action to ex 81/99 on mexico,arbitrary detention|ex 81/99|legal professionals|mexico,mexico,,,1999-07-02,unknown,1999-08-26|1999-07-02
13479,221/99,ua 221/99 on colombia,colombia|human rights defenders|journalists and writers|unionists|ua 221/99,colombia,,,,initial,1999-08-26|1999-08-23|1999-08-23|
13480,220/99,ua 220/99 on usa/delaware,death penalty|legal concern|usa|ua 220/99,usa,,,,initial,
13481,218/99,ua 218/99 on indonesia,arbitrary detention|indonesia|ua 218/99,indonesia,,,,initial,1999-07-30|
13482,22/99,second follow-up to ua 22/99 on rwanda,disappearance|health concern|rwanda|ua 22/99,rwanda,,,1999-02-09,second follow-up,1999-08-24|1999-02-09
13483,16/99,medical action ma 16/99 on turkey,health concern|turkey|medical action ma 16/99,turkey,,,,unknown,
13484,,,,,,,,,1999-08-24|1999-07-29|1999-07-30|1999-08-13|1999-06-13|1999-07-21
13485,217/99,ua 217/99 on sri lanka,sri lanka|ua 217/99,sri lanka,,,,initial,1999-08-24
13486,198/99,stop action to ua 198/99 on egypt,egypt|torture|ua 198/99,egypt,,,1999-08-04,stop action,1999-08-24|1999-08-04|1999-08-12
13487,86/99,first follow-up to ex 86/99 on jordan/iraq,children|iraq|jordan|women|ex 86/99,jordan,,,1999-07-15,unknown,1999-08-24|1999-07-15|1999-08-20|1999-08-23
13488,119/99,second follow-up to ua 119/99 on honduras,disappearance|honduras|indigenous|ua 119/99,honduras,,,1999-05-25,second follow-up,1999-08-24|1999-05-25|1999-05-09
13489,219/99,ua 219/99 on colombia,colombia|religious leaders|ua 219/99,colombia,,,,initial,1999-08-21|1999-08-15|1999-08-21
13490,214/99,ua 214/99 on iran,iran|torture|ua 214/99,iran,,,,initial,1999-08-23
13491,71/99,stop action to ex 71/99 on rwanda,death penalty|ex 71/97|rwanda|business people,rwanda,,,1997-05-19,unknown,1999-08-23|1997-05-19|1999-07-07|1997-01-20|1997-05-31|1998-04-24|1999-05-28|1999-07-07
13492,215/99,ua 215/99 on kenya,journalists and writers|kenya|legal concern|ua 215/99,kenya,,,,initial,1999-08-23
13493,216/99,ua 216/99 on east timor,disappearance|east timor|indonesia|ua 216/99,east timor,,,,initial,1999-08-19|1999-08-27|1999-08-21
13494,213/99,ua 213/99 on brazil,brazil|legal professionals|ua 213/99,brazil,,,,initial,
13495,116/99,ex 116/99 on east timor,disappearance|east timor|indonesia|students|ex 116/99,east timor,,,,unknown,1999-08-20|1999-08-11|1999-08-11
13496,115/99,ex 115/99 on indonesia,indonesia|ex 115/99,indonesia,,,,unknown,1999-08-20|1999-07-30|
13497,43/99,fourth follow-up to ua 43/99 on uzbekistan,legal concern|ua 43/99|uzbekistan,uzbekistan,,,1999-03-09,fourth follow-up,1999-08-20|1999-03-09|1999-04-09|1999-08-05|1999-02-25|1999-03-16
13498,48/99,fourth follow-up to ua 48/99 on uzbekistan,refugee issues|ua 48/99|uzbekistan,uzbekistan,,,1999-03-16,fourth follow-up,1999-08-20|1999-03-16|1999-03-25|1999-08-06|1999-02-25|1999-03-09
13499,87/99,stop action to ex 87/99 on drcongo and uganda,democratic republic of congo|ex 8/99|health concern|uganda,drcongo and uganda,,,1999-07-15,unknown,1999-08-19|1999-07-15|1999-08-01
13500,114/99,ex 114/99 on indonesia,indonesia|ex 114/99,indonesia,,,,unknown,1999-08-19|1999-08-12|1999-07-30|
